checkpoint,manipulation,psnr,ms_ssim,lpips,bpp
lambda_0.0008,baseline,28.7924009417279,0.9355508635441462,0.025582552693473797,0.18157619900173613
lambda_0.0008,gamma_zero,27.76088855659165,0.9219657455881437,0.05265849533801278,2.282942030164931
lambda_0.0008,constant,28.7924009417279,0.9355508635441462,0.025582552693473797,0.18157619900173613
lambda_0.0008,random,28.7924009417279,0.9355508635441462,0.025582552693473797,0.18157619900173613
lambda_0.0008,bypass,-49.57442626235908,0.00014956260262503443,0.7619049524267515,40.28552585177951
lambda_0.0016,baseline,30.089593336833374,0.9512647191683451,0.023955438868142664,0.22589450412326392
lambda_0.0016,gamma_zero,26.66804251576149,0.9049598375956217,0.11879644387712081,1.4078674316406248
lambda_0.0016,constant,30.089593336833374,0.9512647191683451,0.023955438868142664,0.22589450412326392
lambda_0.0016,random,30.089593336833374,0.9512647191683451,0.023955438868142664,0.22589450412326392
lambda_0.0016,bypass,-47.199522280892516,0.0001246954255596696,0.7807376558581988,35.201453314887154
lambda_0.004,baseline,31.889233809333373,0.9673674553632736,0.021231432251321774,0.3226420084635417
lambda_0.004,gamma_zero,24.12209849676881,0.8871216773986816,0.1572778591265281,1.027553982204861
lambda_0.004,constant,31.889233809333373,0.9673674553632736,0.021231432251321774,0.3226420084635417
lambda_0.004,random,31.889233809333373,0.9673674553632736,0.021231432251321774,0.3226420084635417
lambda_0.004,bypass,-39.47127477355187,0.0006692458240043683,0.7842328250408173,27.073449028862843
lambda_0.009,baseline,33.66665244630071,0.9777821724613508,0.017351025676665206,0.45161268446180575
lambda_0.009,gamma_zero,32.389641909996875,0.9726049229502678,0.032619237123678126,0.7829996744791666
lambda_0.009,constant,33.66665244630071,0.9777821724613508,0.017351025676665206,0.45161268446180575
lambda_0.009,random,33.66665244630071,0.9777821724613508,0.017351025676665206,0.45161268446180575
lambda_0.009,bypass,-33.06200496027449,0.002048405003733933,0.776937852303187,23.04715304904514
lambda_0.015,baseline,34.872651139299485,0.9825154840946198,0.01477656171967586,0.573062472873264
lambda_0.015,gamma_zero,32.89398164937107,0.9710727483034134,0.06759184994734824,2.27154541015625
lambda_0.015,constant,34.872651139299485,0.9825154840946198,0.01477656171967586,0.573062472873264
lambda_0.015,random,34.872651139299485,0.9825154840946198,0.01477656171967586,0.573062472873264
lambda_0.015,bypass,-29.272366493513818,0.002949169196654111,0.78701068709294,31.90651448567708
