Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,25.9312,0.9269,0.0345,0.2468
kodim02.png,30.3282,0.9105,0.0274,0.1347
kodim03.png,31.9328,0.9566,0.0147,0.1115
kodim04.png,30.0864,0.9253,0.0238,0.1427
kodim05.png,26.1726,0.9448,0.0263,0.3097
kodim06.png,27.0119,0.9124,0.0284,0.1921
kodim07.png,31.3243,0.9730,0.0161,0.1686
kodim08.png,25.5305,0.9524,0.0243,0.2908
kodim09.png,31.4223,0.9623,0.0156,0.1179
kodim10.png,31.5576,0.9617,0.0190,0.1438
kodim11.png,28.2001,0.9204,0.0280,0.1799
kodim12.png,31.1390,0.9267,0.0195,0.1146
kodim13.png,23.2179,0.8944,0.0526,0.3220
kodim14.png,27.0448,0.9186,0.0309,0.2377
kodim15.png,30.0856,0.9428,0.0201,0.1280
kodim16.png,29.4085,0.9189,0.0250,0.1366
kodim17.png,30.2527,0.9496,0.0227,0.1580
kodim18.png,26.3869,0.9245,0.0358,0.2458
kodim19.png,28.7634,0.9213,0.0248,0.1443
kodim20.png,30.5602,0.9540,0.0150,0.1041
kodim21.png,27.6377,0.9483,0.0254,0.1838
kodim22.png,28.2789,0.9063,0.0372,0.1849
kodim23.png,32.6082,0.9616,0.0153,0.1126
kodim24.png,26.1361,0.9401,0.0313,0.2468
