Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,27.2598,0.9487,0.0309,0.3328
kodim02.png,31.1945,0.9258,0.0272,0.1546
kodim03.png,33.1383,0.9653,0.0138,0.1263
kodim04.png,31.1721,0.9413,0.0240,0.1680
kodim05.png,27.8148,0.9616,0.0230,0.3936
kodim06.png,28.5133,0.9362,0.0260,0.2502
kodim07.png,32.5242,0.9784,0.0160,0.1901
kodim08.png,27.2752,0.9653,0.0205,0.3748
kodim09.png,32.5381,0.9694,0.0159,0.1359
kodim10.png,32.7011,0.9690,0.0180,0.1627
kodim11.png,29.4440,0.9387,0.0275,0.2225
kodim12.png,32.1253,0.9409,0.0192,0.1288
kodim13.png,25.0431,0.9311,0.0455,0.4662
kodim14.png,28.3570,0.9408,0.0290,0.2966
kodim15.png,31.2885,0.9552,0.0201,0.1476
kodim16.png,30.6041,0.9386,0.0236,0.1658
kodim17.png,31.5156,0.9610,0.0218,0.1846
kodim18.png,27.8755,0.9442,0.0333,0.3172
kodim19.png,29.8701,0.9411,0.0244,0.1764
kodim20.png,31.7317,0.9638,0.0134,0.1230
kodim21.png,29.0761,0.9605,0.0223,0.2362
kodim22.png,29.4178,0.9285,0.0350,0.2258
kodim23.png,33.7388,0.9681,0.0148,0.1241
kodim24.png,27.9314,0.9568,0.0295,0.3178
