Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,30.1716,0.9771,0.0277,1.0301
kodim02.png,32.8186,0.9545,0.0398,0.5955
kodim03.png,34.7822,0.9767,0.0346,0.5608
kodim04.png,33.0485,0.9664,0.0396,0.6540
kodim05.png,30.8091,0.9821,0.0220,1.0566
kodim06.png,31.3362,0.9681,0.0318,0.8642
kodim07.png,34.1632,0.9843,0.0317,0.6514
kodim08.png,30.3019,0.9824,0.0205,1.0562
kodim09.png,34.2587,0.9781,0.0213,0.6059
kodim10.png,34.0000,0.9760,0.0390,0.6064
kodim11.png,31.8737,0.9672,0.0328,0.8101
kodim12.png,33.6304,0.9630,0.0382,0.6033
kodim13.png,28.9093,0.9726,0.0415,1.3809
kodim14.png,31.0350,0.9711,0.0369,0.9167
kodim15.png,33.2979,0.9713,0.0301,0.6369
kodim16.png,32.8237,0.9676,0.0331,0.6729
kodim17.png,33.3702,0.9755,0.0371,0.6492
kodim18.png,30.8588,0.9698,0.0391,0.9591
kodim19.png,32.2420,0.9693,0.0365,0.7579
kodim20.png,33.7764,0.9774,0.0194,0.6140
kodim21.png,31.8246,0.9755,0.0248,0.8269
kodim22.png,31.7435,0.9622,0.0438,0.8204
kodim23.png,35.1327,0.9773,0.0277,0.5238
kodim24.png,31.1430,0.9769,0.0339,0.9388
