Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,-28.0086,0.0070,0.6675,30.8354
kodim02.png,-28.1507,0.0015,0.8697,34.9218
kodim03.png,-27.9912,0.0015,0.8649,33.0264
kodim04.png,-27.6580,0.0015,0.8130,33.9476
kodim05.png,-30.7678,0.0000,0.6256,31.2896
kodim06.png,-29.7159,0.0058,0.7730,31.2501
kodim07.png,-27.9503,0.0034,0.8194,32.3197
kodim08.png,-30.5868,0.0050,0.5892,30.6126
kodim09.png,-27.5831,0.0050,0.7973,31.7700
kodim10.png,-26.8892,0.0053,0.8402,31.5933
kodim11.png,-29.5169,0.0000,0.7902,31.7513
kodim12.png,-29.6862,0.0039,0.8207,31.1095
kodim13.png,-29.5464,0.0048,0.7721,29.6421
kodim14.png,-29.7017,0.0020,0.7489,31.4203
kodim15.png,-32.5940,0.0000,0.8020,32.4222
kodim16.png,-27.9800,0.0037,0.8864,32.4313
kodim17.png,-31.3512,0.0054,0.8601,32.2201
kodim18.png,-30.3921,0.0000,0.8159,31.4102
kodim19.png,-28.3218,0.0063,0.8005,32.1396
kodim20.png,-34.2652,0.0038,0.7493,31.5278
kodim21.png,-28.4146,0.0018,0.7857,31.6015
kodim22.png,-27.1930,0.0000,0.7936,32.1398
kodim23.png,-28.8496,0.0030,0.8429,32.5785
kodim24.png,-29.4225,0.0000,0.7603,31.7952
