Image,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,32.8180,0.9867,0.0142,0.9655
kodim02.png,34.8524,0.9685,0.0207,0.3906
kodim03.png,37.4474,0.9848,0.0108,0.2826
kodim04.png,35.2508,0.9773,0.0183,0.4088
kodim05.png,33.4066,0.9898,0.0102,0.9049
kodim06.png,34.0323,0.9813,0.0155,0.6934
kodim07.png,37.0210,0.9906,0.0094,0.3686
kodim08.png,32.7448,0.9888,0.0097,0.9421
kodim09.png,36.6487,0.9840,0.0099,0.2954
kodim10.png,36.6350,0.9843,0.0132,0.3247
kodim11.png,34.2876,0.9795,0.0171,0.5794
kodim12.png,36.1453,0.9760,0.0137,0.3153
kodim13.png,31.7369,0.9851,0.0216,1.4047
kodim14.png,33.3797,0.9827,0.0182,0.7538
kodim15.png,35.5686,0.9803,0.0140,0.3752
kodim16.png,35.3401,0.9804,0.0157,0.4515
kodim17.png,35.8558,0.9841,0.0156,0.3914
kodim18.png,33.2448,0.9803,0.0197,0.7999
kodim19.png,34.5233,0.9800,0.0167,0.5092
kodim20.png,36.2380,0.9856,0.0086,0.3375
kodim21.png,34.4147,0.9833,0.0118,0.6208
kodim22.png,33.9814,0.9759,0.0230,0.6038
kodim23.png,37.5197,0.9846,0.0107,0.2462
kodim24.png,33.8509,0.9866,0.0161,0.7884
