checkpoint,model,lambda,type,bpp,lpips,psnr
lambda_0.0008.pth.tar,TACO,0.0008,With Caption,0.18254258897569442,0.025534134707413614,28.791004357643573
lambda_0.0008.pth.tar,TACO,0.0008,No Caption,0.1836480034722222,0.025354326508628827,28.818989925217608
lambda_0.0016.pth.tar,TACO,0.0016,With Caption,0.2264641655815972,0.023999128451881308,30.08560589043977
lambda_0.0016.pth.tar,TACO,0.0016,No Caption,0.22570461697048608,0.024066087401782472,30.077877732572897
lambda_0.004.pth.tar,TACO,0.004,With Caption,0.3215230305989583,0.021487792721018195,31.880846142440358
lambda_0.004.pth.tar,TACO,0.004,No Caption,0.3214280870225694,0.02145138642905901,31.86702706649636
lambda_0.009.pth.tar,TACO,0.009,With Caption,0.44979519314236116,0.017307405670483906,33.659156550157064
lambda_0.009.pth.tar,TACO,0.009,No Caption,0.4474080403645833,0.01779648634449889,33.629846815900756
lambda_0.015.pth.tar,TACO,0.015,With Caption,0.566311306423611,0.014307031058706343,34.8897050974239
lambda_0.015.pth.tar,TACO,0.015,No Caption,0.5640190972222222,0.014386758984376987,34.86073983799354
ELIC_0004_ft_3980_Plateau.pth.tar,ELIC,0.0,ELIC,0.043660481770833336,0.3588800287495057,26.10224586755963
ELIC_0008_ft_3980_Plateau.pth.tar,ELIC,1.0,ELIC,0.0736355251736111,0.29588601055244607,27.489874766586535
ELIC_0016_ft_3980_Plateau.pth.tar,ELIC,2.0,ELIC,0.12170749240451388,0.22945664264261723,28.956500525723982
ELIC_0032_ft_3980_Plateau.pth.tar,ELIC,3.0,ELIC,0.19501071506076387,0.1708742786819736,30.527391643620376
ELIC_0150_ft_3980_Plateau.pth.tar,ELIC,4.0,ELIC,0.4971211751302083,0.06755516142584383,34.489601429481404
ELIC_0450_ft_3980_Plateau.pth.tar,ELIC,5.0,ELIC,0.8648783365885416,0.03307412296999246,37.52895291755187
